,1,2,3,4,5,6,7
0,"Aug 31, 2023","3,786.93","3,794.00","3,762.00","3,765.27","3,765.27","119,000"
1,"Aug 30, 2023","3,803.12","3,813.70","3,780.24","3,788.51","3,788.51","129,700"
2,"Aug 29, 2023","3,743.05","3,810.38","3,742.08","3,790.11","3,790.11","152,500"
3,"Aug 28, 2023","3,911.55","3,911.55","3,740.53","3,752.62","3,752.62","198,000"
4,"Aug 25, 2023","3,703.51","3,730.79","3,697.27","3,730.79","3,730.79","77,900"
5,"Aug 24, 2023","3,711.54","3,748.86","3,701.57","3,723.43","3,723.43","119,600"
6,"Aug 23, 2023","3,751.77","3,756.17","3,695.03","3,696.63","3,696.63","97,100"
7,"Aug 22, 2023","3,748.07","3,770.06","3,704.68","3,758.23","3,758.23","120,300"
8,"Aug 21, 2023","3,773.23","3,782.11","3,729.56","3,729.56","3,729.56","98,700"
9,"Aug 18, 2023","3,832.46","3,844.20","3,784.00","3,784.00","3,784.00","95,600"
10,"Aug 17, 2023","3,801.20","3,836.15","3,782.50","3,831.10","3,831.10","98,400"
11,"Aug 16, 2023","3,830.83","3,852.42","3,817.63","3,818.33","3,818.33","94,600"
12,"Aug 15, 2023","3,858.37","3,865.28","3,811.68","3,846.54","3,846.54","103,100"
13,"Aug 14, 2023","3,840.89","3,859.47","3,814.07","3,855.91","3,855.91","116,000"
14,"Aug 11, 2023","3,977.98","3,977.98","3,884.25","3,884.25","3,884.25","126,100"
15,"Aug 10, 2023","3,962.86","3,976.46","3,945.39","3,975.72","3,975.72","97,200"
16,"Aug 09, 2023","3,967.36","3,982.11","3,961.84","3,967.57","3,967.57","94,600"
17,"Aug 08, 2023","3,980.04","4,002.29","3,963.46","3,979.73","3,979.73","109,900"
18,"Aug 07, 2023","4,002.97","4,002.97","3,977.02","3,990.15","3,990.15","121,300"
19,"Aug 04, 2023","4,033.72","4,058.24","4,011.62","4,020.58","4,020.58","178,300"
20,"Aug 03, 2023","3,962.13","4,005.00","3,962.13","4,004.98","4,004.98","129,000"
21,"Aug 02, 2023","3,985.70","4,008.33","3,958.51","3,969.90","3,969.90","125,900"
22,"Aug 01, 2023","4,009.18","4,031.70","3,983.03","3,998.00","3,998.00","142,300"
23,"Jul 31, 2023","4,018.89","4,064.36","4,002.08","4,014.63","4,014.63","199,600"
24,"Jul 28, 2023","3,889.79","4,000.92","3,886.55","3,992.74","3,992.74","179,700"
25,"Jul 27, 2023","3,914.23","3,935.36","3,894.69","3,902.35","3,902.35","110,700"
26,"Jul 26, 2023","3,908.17","3,912.98","3,893.40","3,907.01","3,907.01","107,900"
27,"Jul 25, 2023","3,866.64","3,915.81","3,866.64","3,915.12","3,915.12","163,100"
28,"Jul 24, 2023","3,803.35","3,828.79","3,798.80","3,805.22","3,805.22","75,500"
29,"Jul 21, 2023","3,816.98","3,849.51","3,808.80","3,821.91","3,821.91","79,500"
30,"Jul 20, 2023","3,857.77","3,875.62","3,818.71","3,823.69","3,823.69","92,000"
31,"Jul 19, 2023","3,848.48","3,860.01","3,830.41","3,850.87","3,850.87","79,600"
32,"Jul 18, 2023","3,871.04","3,871.04","3,844.51","3,854.94","3,854.94","91,400"
33,"Jul 17, 2023","3,881.62","3,881.62","3,852.26","3,867.17","3,867.17","98,300"
34,"Jul 14, 2023","3,904.60","3,908.49","3,893.79","3,899.10","3,899.10","122,400"
35,"Jul 13, 2023","3,855.66","3,901.10","3,855.66","3,898.42","3,898.42","120,300"
36,"Jul 12, 2023","3,864.60","3,874.04","3,838.56","3,843.44","3,843.44","111,500"
37,"Jul 11, 2023","3,853.80","3,870.65","3,844.52","3,869.49","3,869.49","86,500"
38,"Jul 10, 2023","3,841.56","3,865.46","3,831.92","3,844.33","3,844.33","92,000"
39,"Jul 07, 2023","3,831.60","3,844.84","3,819.08","3,825.70","3,825.70","100,900"
40,"Jul 06, 2023","3,857.03","3,876.89","3,836.46","3,842.75","3,842.75","100,100"
41,"Jul 05, 2023","3,895.19","3,899.52","3,864.13","3,868.81","3,868.81","97,600"
42,"Jul 04, 2023","3,888.03","3,899.98","3,878.40","3,899.01","3,899.01","109,500"
43,"Jul 03, 2023","3,853.29","3,897.33","3,853.29","3,892.88","3,892.88","133,200"
44,"Jun 30, 2023","3,816.33","3,860.03","3,813.55","3,842.45","3,842.45","101,300"
45,"Jun 29, 2023","3,836.73","3,840.71","3,817.38","3,821.84","3,821.84","98,300"
46,"Jun 28, 2023","3,836.61","3,846.85","3,808.16","3,840.80","3,840.80","107,000"
47,"Jun 27, 2023","3,811.69","3,851.90","3,806.32","3,845.43","3,845.43","117,000"
48,"Jun 26, 2023","3,833.44","3,841.29","3,801.05","3,809.70","3,809.70","134,000"
49,"Jun 21, 2023","3,909.10","3,920.13","3,864.03","3,864.03","3,864.03","118,300"
50,"Jun 20, 2023","3,926.09","3,937.49","3,918.47","3,924.24","3,924.24","122,500"
51,"Jun 19, 2023","3,957.03","3,957.03","3,922.47","3,930.91","3,930.91","134,900"
52,"Jun 16, 2023","3,932.21","3,968.01","3,928.54","3,963.35","3,963.35","139,800"
53,"Jun 15, 2023","3,871.77","3,925.50","3,871.77","3,925.50","3,925.50","128,400"
54,"Jun 14, 2023","3,872.72","3,891.67","3,862.06","3,864.02","3,864.02","125,000"
55,"Jun 13, 2023","3,838.13","3,867.30","3,833.46","3,864.91","3,864.91","110,900"
56,"Jun 12, 2023","3,827.33","3,859.72","3,813.86","3,844.43","3,844.43","126,800"
57,"Jun 09, 2023","3,822.41","3,836.70","3,811.22","3,836.70","3,836.70","134,300"
58,"Jun 08, 2023","3,791.08","3,834.39","3,777.78","3,820.19","3,820.19","118,700"
59,"Jun 07, 2023","3,815.48","3,823.11","3,780.10","3,789.34","3,789.34","98,900"
60,"Jun 06, 2023","3,840.46","3,867.85","3,802.84","3,808.16","3,808.16","125,800"
61,"Jun 05, 2023","3,860.56","3,860.56","3,832.46","3,844.25","3,844.25","116,200"
62,"Jun 02, 2023","3,821.62","3,865.28","3,821.62","3,861.83","3,861.83","125,000"
63,"Jun 01, 2023","3,788.59","3,832.21","3,786.73","3,806.87","3,806.87","134,600"
64,"May 31, 2023","3,827.16","3,827.16","3,781.40","3,798.54","3,798.54","126,400"
65,"May 30, 2023","3,827.79","3,844.01","3,789.27","3,837.75","3,837.75","137,600"
