date,value,reporter,partner
2020-01-01,608919231956,Middle East,"All Countries, excluding the IO"
2021-01-01,932280966086,Middle East,"All Countries, excluding the IO"
2022-01-01,1299159719828,Middle East,"All Countries, excluding the IO"
2020-01-01,58952644647,Iraq,"All Countries, excluding the IO"
2021-01-01,81242209370,Iraq,"All Countries, excluding the IO"
2022-01-01,125520694023,Iraq,"All Countries, excluding the IO"
2020-01-01,70718266875,Romania,"All Countries, excluding the IO"
2021-01-01,87388114896,Romania,"All Countries, excluding the IO"
2022-01-01,96329051273,Romania,"All Countries, excluding the IO"
2020-01-01,1420699601,Other Countries n.i.e. (IMF),"All Countries, excluding the IO"
2021-01-01,1405464727,Other Countries n.i.e. (IMF),"All Countries, excluding the IO"
2022-01-01,1564953722,Other Countries n.i.e. (IMF),"All Countries, excluding the IO"
2020-01-01,488636774411,France,"All Countries, excluding the IO"
2021-01-01,585020854259,France,"All Countries, excluding the IO"
2022-01-01,606090958582,France,"All Countries, excluding the IO"
2020-01-01,155495623803,Sweden,"All Countries, excluding the IO"
2021-01-01,189515440204,Sweden,"All Countries, excluding the IO"
2022-01-01,196096336545,Sweden,"All Countries, excluding the IO"
2020-01-01,11624672444,Costa Rica,"All Countries, excluding the IO"
2021-01-01,14747546463,Costa Rica,"All Countries, excluding the IO"
2022-01-01,15183244716,Costa Rica,"All Countries, excluding the IO"
2020-01-01,4394811685,Zimbabwe,"All Countries, excluding the IO"
2021-01-01,6036187305,Zimbabwe,"All Countries, excluding the IO"
2022-01-01,6585479341,Zimbabwe,"All Countries, excluding the IO"
2020-01-01,413623807,Montenegro,"All Countries, excluding the IO"
2021-01-01,505755742,Montenegro,"All Countries, excluding the IO"
2022-01-01,742312920,Montenegro,"All Countries, excluding the IO"
2020-01-01,3927960421,Senegal,"All Countries, excluding the IO"
2021-01-01,5194857138,Senegal,"All Countries, excluding the IO"
2022-01-01,5709543957,Senegal,"All Countries, excluding the IO"
2020-01-01,841439598,Benin,"All Countries, excluding the IO"
2021-01-01,1025778424.0000001,Benin,"All Countries, excluding the IO"
2022-01-01,852324983,Benin,"All Countries, excluding the IO"
2020-01-01,3952681931812,Developing Asia (IMF),"All Countries, excluding the IO"
2021-01-01,5098716357715,Developing Asia (IMF),"All Countries, excluding the IO"
2022-01-01,5597381953812,Developing Asia (IMF),"All Countries, excluding the IO"
2020-01-01,1123296807433,Emerging and Developing Europe,"All Countries, excluding the IO"
2021-01-01,1486390397277,Emerging and Developing Europe,"All Countries, excluding the IO"
2022-01-01,1508399209501,Emerging and Developing Europe,"All Countries, excluding the IO"
2020-01-01,12528145125,Cote d`Ivoire,"All Countries, excluding the IO"
2021-01-01,15499728370,Cote d`Ivoire,"All Countries, excluding the IO"
2022-01-01,16713198045.000002,Cote d`Ivoire,"All Countries, excluding the IO"
2020-01-01,991683361,Macao,"All Countries, excluding the IO"
2021-01-01,1251956007,Macao,"All Countries, excluding the IO"
2022-01-01,1232378609,Macao,"All Countries, excluding the IO"
2020-01-01,3465559235,Mozambique,"All Countries, excluding the IO"
2021-01-01,5122553362,Mozambique,"All Countries, excluding the IO"
2022-01-01,7417718269,Mozambique,"All Countries, excluding the IO"
2020-01-01,21043773645,Angola,"All Countries, excluding the IO"
2021-01-01,35116184702,Angola,"All Countries, excluding the IO"
2022-01-01,51443392563,Angola,"All Countries, excluding the IO"
2020-01-01,6332921052,Lao People`s Democratic Republic,"All Countries, excluding the IO"
2021-01-01,7898507632,Lao People`s Democratic Republic,"All Countries, excluding the IO"
2022-01-01,9583087913,Lao People`s Democratic Republic,"All Countries, excluding the IO"
2020-01-01,73484581265,Chile,"All Countries, excluding the IO"
2021-01-01,93878024713,Chile,"All Countries, excluding the IO"
2022-01-01,97489095973,Chile,"All Countries, excluding the IO"
2020-01-01,162799165,Maldives,"All Countries, excluding the IO"
2021-01-01,151281170,Maldives,"All Countries, excluding the IO"
2022-01-01,159010757,Maldives,"All Countries, excluding the IO"
2020-01-01,13740817500,Azerbaijan,"All Countries, excluding the IO"
2021-01-01,22208004300,Azerbaijan,"All Countries, excluding the IO"
2022-01-01,38146434200,Azerbaijan,"All Countries, excluding the IO"
2020-01-01,4522502714,Iceland,"All Countries, excluding the IO"
2021-01-01,6054132505,Iceland,"All Countries, excluding the IO"
2022-01-01,7402719309,Iceland,"All Countries, excluding the IO"
