,Month,Day,Year,Open,High,Low,Close,Adj_Close,Volume
0,Sep,"29,",2023,"3,799.27","3,854.68","3,781.45","3,794.36","3,794.36",-
1,Sep,"28,",2023,"3,721.23","3,767.63","3,698.64","3,761.52","3,761.52",-
2,Sep,"27,",2023,"3,777.48","3,793.50","3,719.50","3,727.78","3,727.78",-
3,Sep,"26,",2023,"3,847.75","3,847.93","3,737.85","3,779.41","3,779.41",-
4,Sep,"22,",2023,"3,838.40","3,904.21","3,837.04","3,880.64","3,880.64",-
5,Sep,"21,",2023,"3,932.81","3,933.54","3,800.01","3,837.42","3,837.42",-
6,Sep,"20,",2023,"3,855.10","3,955.00","3,845.49","3,954.97","3,954.97",-
7,Sep,"19,",2023,"3,858.46","3,887.79","3,841.52","3,864.73","3,864.73",-
8,Sep,"18,",2023,"3,913.47","3,924.95","3,844.16","3,862.31","3,862.31",-
9,Sep,"15,",2023,"3,901.48","3,929.19","3,884.33","3,885.94","3,885.94",-
10,Sep,"14,",2023,"3,878.47","3,909.54","3,854.50","3,907.15","3,907.15",-
11,Sep,"13,",2023,"3,891.63","3,891.63","3,821.45","3,880.00","3,880.00",-
12,Sep,"12,",2023,"3,898.25","3,907.58","3,852.93","3,884.62","3,884.62",-
13,Sep,"11,",2023,"3,854.86","3,917.85","3,854.33","3,899.17","3,899.17",-
14,Sep,"08,",2023,"3,801.82","3,841.76","3,789.60","3,831.69","3,831.69",-
15,Sep,"07,",2023,"3,846.25","3,847.32","3,784.10","3,789.94","3,789.94",-
16,Sep,"06,",2023,"3,882.07","3,887.11","3,814.31","3,839.30","3,839.30",-
17,Sep,"05,",2023,"3,907.08","3,907.61","3,849.27","3,867.25","3,867.25",-
18,Sep,"04,",2023,"3,949.10","3,997.89","3,928.14","3,929.82","3,929.82",-
19,Sep,"01,",2023,"3,957.53","4,010.62","3,941.16","3,953.68","3,953.68",-
20,Aug,"31,",2023,"3,999.05","4,007.88","3,928.61","3,932.93","3,932.93",-
21,Aug,"30,",2023,"4,004.56","4,050.29","3,996.71","4,027.24","4,027.24",-
22,Aug,"29,",2023,"4,028.48","4,045.42","3,979.05","4,015.23","4,015.23",-
23,Aug,"28,",2023,"3,937.14","4,013.10","3,932.42","4,008.00","4,008.00",-
24,Aug,"25,",2023,"3,920.58","3,991.63","3,905.67","3,918.98","3,918.98",-
25,Aug,"24,",2023,"3,969.17","4,003.26","3,929.61","3,947.60","3,947.60",-
26,Aug,"23,",2023,"3,887.75","3,977.76","3,886.83","3,975.69","3,975.69",-
27,Aug,"22,",2023,"3,891.00","3,950.28","3,873.77","3,883.99","3,883.99",-
28,Aug,"21,",2023,"3,818.74","3,889.45","3,816.97","3,861.47","3,861.47",-
29,Aug,"18,",2023,"3,888.90","3,889.55","3,799.29","3,833.13","3,833.13",-
30,Aug,"17,",2023,"3,890.18","3,920.45","3,857.13","3,887.40","3,887.40",-
31,Aug,"16,",2023,"3,944.84","3,944.84","3,867.57","3,911.01","3,911.01",-
32,Aug,"15,",2023,"3,983.78","3,994.81","3,906.20","3,933.36","3,933.36",-
33,Aug,"14,",2023,"4,042.12","4,061.40","3,945.50","3,979.11","3,979.11",-
34,Aug,"11,",2023,"4,117.83","4,119.01","4,051.54","4,066.86","4,066.86",-
35,Aug,"10,",2023,"4,050.12","4,174.44","4,040.54","4,147.88","4,147.88",-
36,Aug,"08,",2023,"4,088.88","4,108.41","4,029.64","4,036.71","4,036.71",-
37,Aug,"07,",2023,"4,162.46","4,171.34","4,101.47","4,111.43","4,111.43",-
38,Aug,"04,",2023,"4,111.69","4,182.77","4,085.51","4,177.46","4,177.46",-
39,Aug,"03,",2023,"4,127.98","4,141.87","4,053.46","4,098.98","4,098.98",-
40,Aug,"02,",2023,"4,295.78","4,298.78","4,129.13","4,129.13","4,129.13",-
41,Aug,"01,",2023,"4,421.09","4,424.58","4,321.84","4,329.06","4,329.06",-
42,Jul,"31,",2023,"4,454.53","4,465.02","4,429.84","4,450.81","4,450.81",-
43,Jul,"28,",2023,"4,386.62","4,470.39","4,369.59","4,458.29","4,458.29",-
